Country,Risk_rating,Latitude,Longitude
Philippines,2.229,14.5833,120.9667
Indonesia,1.829,-6.145,106.8828
India,2.314,18.9398,72.8355
Mexico,2.599,19.0512,-104.28
Colombia,2.693,10.391,-75.5149
Myanmar,2.741,16.785,96.156
Mozambique,2.259,-25.9655,32.5832
Russia,3.142,59.9343,30.3351
Bangladesh,2.051,22.337,91.8405
China,2.009,31.2304,121.4737
Pakistan,2.745,24.8607,67.0011
Papua New Guinea,2.095,-6.7272,146.991
Peru,2.13,-12.0456,-77.12
Somalia,3.036,2.0677,45.348
Vietnam,1.745,10.8231,106.6297
Yemen,3.35,12.7852,45.0259
USA,2.448,40.684,-74.006
Australia,1.525,-33.865,151.2094
New Zealand,1.313,-36.8404,174.7645
